NMFS_DNA_ID,BOX_ID,BOX_POSITION,SAMPLE_ID,BATCH_ID,PROJECT_NAME,GENUS,SPECIES,LENGTH,WEIGHT,SEX,AGE,REPORTED_LIFE_STAGE,PHENOTYPE,HATCHERY_MARK,TAG_NUMBER,COLLECTION_DATE,ESTIMATED_DATE,PICKER,PICK_DATE,LEFTOVER_SAMPLE ,SAMPLE_COMMENTS,NMFS_DNA_ID,STATE_F,COUNTY_F,WATERSHED,TRIB_1,TRIB_2,WATER_NAME,REACH_SITE,HATCHERY,STRAIN,LATITUDE_F,LONGITUDE_F,LOCATION_COMMENTS_F,NMFS_DNA_ID,SPECIES_CODE,COMMON_NAME,LANDFALL_PORT,CRUISE,HAUL,SITE,STATE_M,COUNTY_M,LATITUDE_M,LONGITUDE_M,LOCATION_COMMENTS_M
M133590,M1370,8A,2,0999,,Oncorhynchus,mykiss,711.2,,Male,,Adult,,,,2/6/04,,LC,9/12/22,,,M133590,California,Santa Cruz,San Lorenzo River,,,San Lorenzo River,,,,,,,,,,,,,,,,,,
M133591,M1370,8B,3,0999,,Oncorhynchus,mykiss,635,,Male,,Adult,,,,2/6/04,,LC,9/12/22,,,M133591,California,Santa Cruz,San Lorenzo River,,,San Lorenzo River,,,,,,,,,,,,,,,,,,
M133592,M1370,8C,4,0999,,Oncorhynchus,mykiss,736.6,,Male,,Adult,,,,2/6/04,,LC,9/12/22,,,M133592,California,Santa Cruz,San Lorenzo River,,,San Lorenzo River,,,,,,,,,,,,,,,,,,
M133593,M1370,8D,6,0999,,Oncorhynchus,mykiss,635,,Female,,Adult,,,,2/6/04,,LC,9/12/22,,,M133593,California,Santa Cruz,San Lorenzo River,,,San Lorenzo River,,,,,,,,,,,,,,,,,,
M133594,M1370,8E,7,0999,,Oncorhynchus,mykiss,711.2,,Female,,Adult,,,,2/6/04,,LC,9/12/22,,,M133594,California,Santa Cruz,San Lorenzo River,,,San Lorenzo River,,,,,,,,,,,,,,,,,,
M133595,M1370,8F,8,0999,,Oncorhynchus,mykiss,685.8,,Male,,Adult,,,,2/6/04,,LC,9/12/22,,,M133595,California,Santa Cruz,San Lorenzo River,,,San Lorenzo River,,,,,,,,,,,,,,,,,,
M133597,M1370,8H,275,0999,,Oncorhynchus,mykiss,685.8,,Male,,Adult,,,,2/17/04,,LC,9/12/22,,,M133597,California,Santa Cruz,San Lorenzo River,,,San Lorenzo River,,,,,,,,,,,,,,,,,,
M133598,M1370,9A,276,0999,,Oncorhynchus,mykiss,711.2,,Female,,Adult,,,,2/17/04,,LC,9/12/22,,,M133598,California,Santa Cruz,San Lorenzo River,,,San Lorenzo River,,,,,,,,,,,,,,,,,,
M133599,M1370,9B,277,0999,,Oncorhynchus,mykiss,685.8,,Female,,Adult,,,,2/17/04,,LC,9/12/22,,,M133599,California,Santa Cruz,San Lorenzo River,,,San Lorenzo River,,,,,,,,,,,,,,,,,,
M133600,M1370,9C,278,0999,,Oncorhynchus,mykiss,660.4,,Female,,Adult,,,,2/17/04,,LC,9/12/22,,,M133600,California,Santa Cruz,San Lorenzo River,,,San Lorenzo River,,,,,,,,,,,,,,,,,,
M133601,M1370,9D,279,0999,,Oncorhynchus,mykiss,660.4,,Female,,Adult,,,,2/17/04,,LC,9/12/22,,,M133601,California,Santa Cruz,San Lorenzo River,,,San Lorenzo River,,,hatchery,,,,,,,,,,,,,,,
M133602,M1370,9E,280,0999,,Oncorhynchus,mykiss,635,,Female,,Adult,,,,2/17/04,,LC,9/12/22,,,M133602,California,Santa Cruz,San Lorenzo River,,,San Lorenzo River,,,wild,,,,,,,,,,,,,,,
M133603,M1370,9F,282,0999,,Oncorhynchus,mykiss,812.8,,Female,,Adult,,,,2/17/04,,LC,9/12/22,,,M133603,California,Santa Cruz,San Lorenzo River,,,San Lorenzo River,,,wild,,,,,,,,,,,,,,,
M133604,M1370,9G,283,0999,,Oncorhynchus,mykiss,711.2,,Female,,Adult,,,,2/17/04,,LC,9/12/22,,,M133604,California,Santa Cruz,San Lorenzo River,,,San Lorenzo River,,,hatchery,,,,,,,,,,,,,,,
