NMFS_DNA_ID,BOX_ID,BOX_POSITION,SAMPLE_ID,BATCH_ID,PROJECT_NAME,GENUS,SPECIES,LENGTH,WEIGHT,SEX,AGE,REPORTED_LIFE_STAGE,PHENOTYPE,HATCHERY_MARK,TAG_NUMBER,COLLECTION_DATE,ESTIMATED_DATE,PICKER,PICK_DATE,LEFTOVER_SAMPLE ,SAMPLE_COMMENTS,NMFS_DNA_ID,STATE_F,COUNTY_F,WATERSHED,TRIB_1,TRIB_2,WATER_NAME,REACH_SITE,HATCHERY,STRAIN,LATITUDE_F,LONGITUDE_F,LOCATION_COMMENTS_F,NMFS_DNA_ID,SPECIES_CODE,COMMON_NAME,LANDFALL_PORT,CRUISE,HAUL,SITE,STATE_M,COUNTY_M,LATITUDE_M,LONGITUDE_M,LOCATION_COMMENTS_M
M128990,M1322,2C,A060193KSF,5586,,Oncorhynchus,mykiss,109,,,,,,,,8/21/06,,LC,44594,None,Golden trout. Not sure if length is total or fork,M128990,California,Tulare,Kern River,South Fork Kern River,,Mulkey Creek,"Mulkey Creek, Upper",,GT-CA,36.40754,-118.17209,,,,,,,,,,,,,
M128991,M1322,2D,A060194KSF,5586,,Oncorhynchus,mykiss,109,,,,,,,,8/21/06,,LC,44594,None,Golden trout. Not sure if length is total or fork,M128991,California,Tulare,Kern River,South Fork Kern River,,Mulkey Creek,"Mulkey Creek, Upper",,GT-CA,36.40754,-118.17209,,,,,,,,,,,,,
M128992,M1322,2E,A130118LKR,5586,,Oncorhynchus,mykiss,185,83,,,,,,,6/13/13,,LC,44594,None,Golden trout.,M128992,California,Tulare,Kern River,Little Kern River,,Fish Creek,FISH CREEK 64,,GT-LK,36.18913,-118.52445,,,,,,,,,,,,,
M128993,M1322,2F,A130122LKR,5586,,Oncorhynchus,mykiss,225,116,,,,,,,6/13/13,,LC,44594,None,Golden trout.,M128993,California,Tulare,Kern River,Little Kern River,,Fish Creek,FISH CREEK 64,,GT-LK,36.18913,-118.52445,,,,,,,,,,,,,
M128994,M1322,2G,A130123LKR,5586,,Oncorhynchus,mykiss,228,122,,,,,,,6/13/13,,LC,44594,None,Golden trout.,M128994,California,Tulare,Kern River,Little Kern River,,Fish Creek,FISH CREEK 64,,GT-LK,36.18913,-118.52445,,,,,,,,,,,,,
M128995,M1322,2H,A130125LKR,5586,,Oncorhynchus,mykiss,175,43,,,,,,,6/14/13,,LC,44594,None,Golden trout.,M128995,California,Tulare,Kern River,Little Kern River,,Fish Creek,FISH CREEK SECTION 113,,GT-LK,,,,,,,,,,,,,,,
M128996,M1322,3A,A130127LKR,5586,,Oncorhynchus,mykiss,245,176,,,,,,,6/14/13,,LC,44594,None,Golden trout.,M128996,California,Tulare,Kern River,Little Kern River,,Fish Creek,FISH CREEK SECTION 113,,GT-LK,,,,,,,,,,,,,,,
M128997,M1322,3B,A130128LKR,5586,,Oncorhynchus,mykiss,140,24,,,,,,,9/7/13,,LC,44594,None,Golden trout.,M128997,California,Tulare,Kern River,Little Kern River,,Fish Creek,FISH CREEK SECTION 36,,GT-LK,36.19291,-118.494,,,,,,,,,,,,,
M128998,M1322,3C,A130129LKR,5586,,Oncorhynchus,mykiss,78,4,,,,,,,9/7/13,,LC,44594,None,Golden trout.,M128998,California,Tulare,Kern River,Little Kern River,,Fish Creek,FISH CREEK SECTION 36,,GT-LK,36.19291,-118.494,,,,,,,,,,,,,
M128999,M1322,3D,A130137LKR,5586,,Oncorhynchus,mykiss,122,16,,,,,,,9/7/13,,LC,44594,None,Golden trout.,M128999,California,Tulare,Kern River,Little Kern River,,Fish Creek,FISH CREEK SECTION 36,,GT-LK,36.19291,-118.494,,,,,,,,,,,,,
